Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
12/2024,76350370/11,SG3 Consultoria,"5.096,31","5.096,31",Em aberto,00/00/0000,20/02/2024,-,Serviços contábeis,Itaú,-,26/12/2024
12/2024,1585/11,HYPER CONSULTORIA,950,950,Em aberto,00/00/0000,21/02/2024,-,-,Itaú,-,30/12/2024
12/2024,391905/10,LM Transportes Interestaduais Serviços e Comercio S/A,"1.789,00","1.789,00",Em aberto,00/00/0000,23/02/2024,-,Locações de máquinas e equipamentos,Itaú,-,10/12/2024
12/2024,1961/10,Bonitur,"549,2","549,2",Em aberto,00/00/0000,02/03/2024,-,-,Itaú,-,16/12/2024
12/2024,previsão/10,E-Clik Serviços Digitais Ltda,"396,52","396,52",Em aberto,00/00/0000,04/03/2024,-,Propaganda e publicidade,Itaú,-,26/12/2024
12/2024,542162/10,Abralimp Assoc Brasileira do Mercado de Limp Profissional,386,386,Em aberto,00/00/0000,13/03/2024,-,-,Itaú,-,24/12/2024
12/2024,2290/10,HYPER CONSULTORIA,950,950,Em aberto,00/00/0000,15/03/2024,-,-,Itaú,-,16/12/2024
12/2024,2606/9,BNI BRASIL,"350,75","350,75",Em aberto,00/00/0000,30/03/2024,-,-,Sicredi,-,30/12/2024
12/2024,04/2024/9,Telefonica Brasil S/A,20,20,Em aberto,00/00/0000,10/04/2024,-,Telefone,Itaú,-,16/12/2024
12/2024,3164/8,IDERIS,"1.676,60","1.676,60",Em aberto,00/00/0000,16/04/2024,-,-,Itaú,-,16/12/2024
12/2024,3175/9,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,16/04/2024,-,Propaganda e publicidade,Sicredi,-,30/12/2024
12/2024,3187/9,Allied (Samsung),"62,9","62,9",Em aberto,00/00/0000,16/04/2024,-,-,Sicredi,-,30/12/2024
12/2024,3196/9,Allied (Samsung),"649,9","649,9",Em aberto,00/00/0000,16/04/2024,-,-,Sicredi,-,30/12/2024
12/2024,3213/9,ACE Funcional e Pilates,"238,88","238,88",Em aberto,00/00/0000,16/04/2024,-,-,Sicredi,-,30/12/2024
12/2024,3404/8,Frenet - Gateway de Fretes,157,157,Em aberto,00/00/0000,23/04/2024,-,Software,Itaú,-,05/12/2024
12/2024,3676/8,ZapSign,"69,9","69,9",Em aberto,00/00/0000,27/04/2024,-,Zap Sing,Itaú,-,16/12/2024
12/2024,29529/1,RFTecnologia Teleinformática Ltda Me,"311,1","311,1",Em aberto,00/00/0000,08/05/2024,-,Telefone,Itaú,-,20/12/2024
12/2024,,Astronpay Astronmen,217,217,Em aberto,00/00/0000,15/05/2024,-,-,Sicredi,-,30/12/2024
12/2024,418472/8,2Eletro Com e Distr de Produtos,"264,02","264,02",Em aberto,00/00/0000,14/05/2024,-,-,Sicredi,-,30/12/2024
12/2024,,PREVIDENCIA SOCIAL,"875,44","875,44",Em aberto,00/00/0000,20/05/2024,-,Encargos da folha,Itaú,-,20/12/2024
12/2024,3414536,CORREIOS,"14.249,41","14.249,41",Em aberto,00/00/0000,23/11/2024,-,Correios,Itaú,-,02/12/2024
12/2024,previsão,GNRE,"2.116,82","2.116,82",Em aberto,00/00/0000,29/05/2024,-,Impostos sobre vendas,Itaú,-,09/12/2024
12/2024,Previsão,GNRE,484,484,Em aberto,00/00/0000,29/05/2024,-,Impostos sobre vendas,Itaú,-,16/12/2024
12/2024,Previsão,GNRE,"1.660,00","1.660,00",Em aberto,00/00/0000,29/05/2024,-,Impostos sobre vendas,Itaú,-,16/12/2024
12/2024,Previsão,GNRE,"2.880,00","2.880,00",Em aberto,00/00/0000,29/05/2024,-,Impostos sobre vendas,Itaú,-,16/12/2024
12/2024,Previsão,GNRE,"1.440,00","1.440,00",Em aberto,00/00/0000,29/05/2024,-,Impostos sobre vendas,Itaú,-,16/12/2024
12/2024,Previsão,GNRE,540,540,Em aberto,00/00/0000,29/05/2024,-,Impostos sobre vendas,Itaú,-,16/12/2024
12/2024,Previsão,GNRE,200,200,Em aberto,00/00/0000,29/05/2024,-,Impostos sobre vendas,Itaú,-,16/12/2024
12/2024,10,Thaissa Lima Vicente,"3.000,00","3.000,00",Em aberto,00/00/0000,31/05/2024,-,-,Itaú,-,03/12/2024
12/2024,,Hostgator,"62,87","62,87",Em aberto,00/00/0000,06/06/2024,-,-,Itaú,-,16/12/2024
12/2024,,MICROSOFT,"129,93","129,93",Em aberto,00/00/0000,05/05/2024,-,-,Itaú,-,16/12/2024
12/2024,08/2024,COFINS,"10.244,60","10.244,60",Em aberto,00/00/0000,11/06/2024,-,COFINS,Itaú,-,24/12/2024
12/2024,08/2024,PIS,"2.224,59","2.224,59",Em aberto,00/00/0000,11/06/2024,-,PIS,Itaú,-,24/12/2024
12/2024,152/7,Robmosan Comercio de Informática,"269,93","269,93",Em aberto,00/00/0000,17/05/2024,-,-,Sicredi,-,30/12/2024
12/2024,previsão,GNRE,"1.056,89","1.056,89",Em aberto,00/00/0000,02/07/2024,-,Impostos sobre vendas,Itaú,-,16/12/2024
12/2024,108904/05,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.556,89","2.556,89",Em aberto,00/00/0000,05/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/12/2024
